Year,Location,trout_count,fish_type
1962,Ice Harbor Dam,,Steelhead
1963,Ice Harbor Dam,108186,Steelhead
1964,Ice Harbor Dam,76788,Steelhead
1965,Ice Harbor Dam,58028,Steelhead
1966,Ice Harbor Dam,62566.00,Steelhead
1967,Ice Harbor Dam,64987,Steelhead
1968,Ice Harbor Dam,47536,Steelhead
1969,Lower Monumental Dam,82529,Steelhead
1970,Little Goose Dam,60584,Steelhead
1971,Little Goose Dam,50927,Steelhead
1972,Little Goose Dam,50670,Steelhead
1973,Little Goose Dam,40523,Steelhead
1974,Little Goose Dam,26426,Steelhead
1975,Lower Granite Dam,10360,Steelhead
1976,Lower Granite Dam,12662,Steelhead
1977,Lower Granite Dam,8987,Steelhead
1978,Lower Granite Dam,22245,Steelhead
1979,Lower Granite Dam,13184,Steelhead
1980,Lower Granite Dam,16424,Steelhead
1981,Lower Granite Dam,21814,Steelhead
1982,Lower Granite Dam,17932,Steelhead
1983,Lower Granite Dam,25231,Steelhead
1984,Lower Granite Dam,18378,Steelhead
1985,Lower Granite Dam,24497,Steelhead
1986,Lower Granite Dam,26708,Steelhead
1987,Lower Granite Dam,22076,Steelhead
1988,Lower Granite Dam,25511,Steelhead
1989,Lower Granite Dam,20314,Steelhead
1990,Lower Granite Dam,24979,Steelhead
1991,Lower Granite Dam,9289,Steelhead
1992,Lower Granite Dam,17317,Steelhead
1993,Lower Granite Dam,19394,Steelhead
1994,Lower Granite Dam,9122,Steelhead
1995,Lower Granite Dam,8104,Steelhead
1996,Lower Granite Dam,8055,Steelhead
1997,Lower Granite Dam,7625,Steelhead
1998,Lower Granite Dam,8749,Steelhead
1999,Lower Granite Dam,9375,Steelhead
2000,Lower Granite Dam,11098,Steelhead
2001,Lower Granite Dam,20575,Steelhead
2002,Lower Granite Dam,40719,Steelhead
2003,Lower Granite Dam,41931,Steelhead
2004,Lower Granite Dam,29146,Steelhead
2005,Lower Granite Dam,23071,Steelhead
2006,Lower Granite Dam,18130,Steelhead
2007,Lower Granite Dam,9510,Steelhead
2008,Lower Granite Dam,14166,Steelhead
2009,Lower Granite Dam,23875,Steelhead
2010,Lower Granite Dam,42739,Steelhead
2011,Lower Granite Dam,44133,Steelhead
2012,Lower Granite Dam,39438,Steelhead
2013,Lower Granite Dam,23143,Steelhead
2014,Lower Granite Dam,25355,Steelhead
2015,Lower Granite Dam,45789,Steelhead
2016,Lower Granite Dam,33936,Steelhead
2017,Lower Granite Dam,15576,Steelhead
2018,Lower Granite Dam,10717,Steelhead
2019,Lower Granite Dam,8287,Steelhead
2020,Lower Granite Dam,9634,Steelhead
2021,Lower Granite Dam,15478,Steelhead
2022,Lower Granite Dam,9807,Steelhead
1962,Ice Harbor Dam,58566,Chinook
1963,Ice Harbor Dam,43514,Chinook
1964,Ice Harbor Dam,44700,Chinook
1965,Ice Harbor Dam,21900,Chinook
1966,Ice Harbor Dam,54500,Chinook
1967,Ice Harbor Dam,57700,Chinook
1968,Ice Harbor Dam,57500,Chinook
1969,Lower Monumental Dam,63700,Chinook
1970,Little Goose Dam,46300,Chinook
1971,Little Goose Dam,39000,Chinook
1972,Little Goose Dam,41700,Chinook
1973,Little Goose Dam,42300,Chinook
1974,Little Goose Dam,18700,Chinook
1975,Lower Granite Dam,17800,Chinook
1976,Lower Granite Dam,14500,Chinook
1977,Lower Granite Dam,30800,Chinook
1978,Lower Granite Dam,42600,Chinook
1979,Lower Granite Dam,5761,Chinook
1980,Lower Granite Dam,6134,Chinook
1981,Lower Granite Dam,11292,Chinook
1982,Lower Granite Dam,11300,Chinook
1983,Lower Granite Dam,9838,Chinook
1984,Lower Granite Dam,7929,Chinook
1985,Lower Granite Dam,10182,Chinook
1986,Lower Granite Dam,10109,Chinook
1987,Lower Granite Dam,9622,Chinook
1988,Lower Granite Dam,10826,Chinook
1989,Lower Granite Dam,6454,Chinook
1990,Lower Granite Dam,9342,Chinook
1991,Lower Granite Dam,5756,Chinook
1992,Lower Granite Dam,12673,Chinook
1993,Lower Granite Dam,12522,Chinook
1994,Lower Granite Dam,1856,Chinook
1995,Lower Granite Dam,1167,Chinook
1996,Lower Granite Dam,3643,Chinook
1997,Lower Granite Dam,4272,Chinook
1998,Lower Granite Dam,5378,Chinook
1999,Lower Granite Dam,2695,Chinook
2000,Lower Granite Dam,7347,Chinook
2001,Lower Granite Dam,37063,Chinook
2002,Lower Granite Dam,27743,Chinook
2003,Lower Granite Dam,29270,Chinook
2004,Lower Granite Dam,16808,Chinook
2005,Lower Granite Dam,8691,Chinook
2006,Lower Granite Dam,8775,Chinook
2007,Lower Granite Dam,7694,Chinook
2008,Lower Granite Dam,14046,Chinook
2009,Lower Granite Dam,12963,Chinook
2010,Lower Granite Dam,26281,Chinook
2011,Lower Granite Dam,22407,Chinook
2012,Lower Granite Dam,20298,Chinook
2013,Lower Granite Dam,12407,Chinook
2014,Lower Granite Dam,26351,Chinook
2015,Lower Granite Dam,21499,Chinook
2016,Lower Granite Dam,15939,Chinook
2017,Lower Granite Dam,4108,Chinook
2018,Lower Granite Dam,6863,Chinook
2019,Lower Granite Dam,4152,Chinook
2020,Lower Granite Dam,8565,Chinook
2021,Lower Granite Dam,6563,Chinook
2022,Lower Granite Dam,16048.00,Chinook