Year,Value,Type
1982,149.4406609,streamflow
1983,131.5917665,streamflow
1984,125.4540467,streamflow
1985,79.22562859,streamflow
1986,108.6682002,streamflow
1987,43.28680808,streamflow
1988,64.20270469,streamflow
1989,91.77553809,streamflow
1990,76.45445922,streamflow
1991,74.02695757,streamflow
1992,53.07019237,streamflow
1993,118.3554504,streamflow
1994,53.45612194,streamflow
1995,129.9858165,streamflow
1996,145.5827584,streamflow
1997,154.2761587,streamflow
1998,116.8307732,streamflow
1999,142.8663901,streamflow
2000,94.16170673,streamflow
2001,46.74066875,streamflow
2002,99.47183755,streamflow
2003,115.0246599,streamflow
2004,94.14777425,streamflow
2005,80.24966554,streamflow
2006,138.344373,streamflow
2007,74.16721116,streamflow
2008,113.2942465,streamflow
2009,104.2260626,streamflow
2010,101.3657254,streamflow
2011,143.6777246,streamflow
2012,124.4211858,streamflow
2013,84.50278589,streamflow
2014,99.76534837,streamflow
2015,48.89648713,streamflow
2016,104.0941685,streamflow
2017,138.0411094,streamflow
2018,89.33967696,streamflow
2019,117.7010885,streamflow
2020,92.92543173,streamflow
2021,60.00670749,streamflow
2022,89.66848338,streamflow
2023,87.21543887,streamflow
1982,155.6512379,swe
1983,154.0365985,swe
1984,119.8062433,swe
1985,118.5145317,swe
1986,105.2744887,swe
1987,66.52314316,swe
1988,88.80516684,swe
1989,112.0559742,swe
1990,71.36706135,swe
1991,77.50269106,swe
1992,58.44994617,swe
1993,98.49300322,swe
1994,59.09580193,swe
1995,123.0355221,swe
1996,121.0979548,swe
1997,161.7868676,swe
1998,85.25296016,swe
1999,165.6620021,swe
2000,106.8891281,swe
2001,41.33476856,swe
2002,117.2228202,swe
2003,110.4413348,swe
2004,94.94079655,swe
2005,64.90850376,swe
2006,135.9526372,swe
2007,79.76318621,swe
2008,118.8374596,swe
2009,96.23250806,swe
2010,66.84607104,swe
2011,121.4208827,swe
2012,121.7438105,swe
2013,88.80516684,swe
2014,98.8159311,swe
2015,46.50161463,swe
2016,103.0139935,swe
2017,98.17007534,swe
2018,82.02368137,swe
2019,109.1496232,swe
2020,87.51345532,swe
2021,88.80516684,swe
2022,66.52314316,swe
2023,111.7330463,swe
1982,140.7371955,precip
1983,75.39492616,precip
1984,168.8846346,precip
1985,89.46864571,precip
1986,103.5423653,precip
1987,68.35806639,precip
1988,101.5318339,precip
1989,70.36859775,precip
1990,101.5318339,precip
1991,130.6845387,precip
1992,92.48444276,precip
1993,140.7371955,precip
1994,84.4423173,precip
1995,135.7108671,precip
1996,158.8319778,precip
1997,103.5423653,precip
1998,119.6266162,precip
1999,92.48444276,precip
2000,67.35280071,precip
2001,90.4739114,precip
2002,61.32120661,precip
2003,96.50550549,precip
2004,102.5370996,precip
2005,122.6424132,precip
2006,100.5265682,precip
2007,59.31067525,precip
2008,69.36333207,precip
2009,104.5476309,precip
2010,143.7529926,precip
2011,111.5844907,precip
2012,84.4423173,precip
2013,82.43178594,precip
2014,65.34226934,precip
2015,58.30540957,precip
2016,82.43178594,precip
2017,106.5581623,precip
2018,102.5370996,precip
2019,110.579225,precip
2020,114.6002878,precip
2021,46.24222138,precip
2022,147.7740553,precip
2023,90.4739114,precip