year,Snake,Salmon,Clearwater
1962,103.5,98.41666667,104.5833333
1963,121.25,118.0833333,126.1666667
1964,114.0833333,109.75,115.5833333
1965,174.8333333,169.9166667,178.1666667
1966,97.75,95.75,85.33333333
1967,106.5,109.9166667,106.5
1968,114.0833333,109.3333333,138.75
1969,136.4166667,125.1666667,153.0833333
1970,123.1666667,117.6666667,118
1971,166,147.4166667,151.25
1972,163.0833333,142.5833333,150.25
1973,99.5,95.25,70.5
1974,172.0833333,150.8333333,179.1666667
1975,133,134.4166667,125.0833333
1976,159.75,136.5833333,187.4166667
1977,74.58333333,83.83333333,64.16666667
1978,133.1666667,119.5,166.3333333
1979,98.16666667,88.33333333,82.41666667
1980,101,109,90.66666667
1981,111.75,102.75,125.5833333
1982,157.3333333,145.4166667,145.6666667
1983,162.3333333,138,120.75
1984,175.25,160.1666667,133.4166667
1985,123.3333333,119,99.08333333
1986,144.1666667,136.8333333,129.75
1987,93.91666667,91.33333333,71.5
1988,71.58333333,81.41666667,62.75
1989,92.83333333,81.83333333,88.91666667
1990,89.41666667,84.25,104.0833333
1991,90.08333333,78.83333333,118.0833333
1992,72.16666667,73.25,80.66666667
1993,100,103.3333333,95.41666667
1994,75.25,68.08333333,67.08333333
1995,115.3333333,111.6666667,110.8333333
1996,182.75,133.9166667,243.75
1997,187.8333333,155.0833333,167.3333333
1998,130.5833333,129.0833333,111.4166667
1999,142.5833333,125.6666667,134.5833333
2000,109,99.08333333,106.5833333
2001,73,75.08333333,77.25
2002,90.16666667,77.91666667,112.8333333
2003,91.25,85.08333333,100.1666667
2004,86.83333333,77.58333333,100.1666667
2005,84.5,75.08333333,101.5833333
2006,115.0833333,99.83333333,97.58333333
2007,89.25,94.5,103.3333333
2008,102.4166667,100.4166667,110.75
2009,107,111.1666667,116.75
2010,91.33333333,107.9166667,81.08333333
2011,146.1666667,130.5833333,162.5833333
2012,113.9166667,125.1666667,108
2013,86.91666667,94.41666667,100.4166667
2014,99.25,108,114.4166667
2015,94,101.0833333,112.8333333
2016,94.75,103.8333333,102.4166667
2017,138.5833333,171.3333333,138.3333333
2018,121.0833333,130.8333333,142.8333333
2019,97.08333333,106.4166667,100.3333333
2020,96.58333333,93.75,103.5
2021,79.91666667,75.91666667,100.1666667
2022,91.5,90.08333333,122.3333333
1962,,,
1963,,,
1964,,,
1965,,,
1966,,,
1967,,,
1968,,,
1969,,,
1970,,,
1971,,,
1972,,,
1973,,,
1974,,,
1975,,,
1976,,,
1977,,,
1978,,,
1979,,,
1980,,,
1981,,,
1982,,,
1983,,,
1984,,,
1985,,,
1986,,,
1987,,,
1988,,,
1989,,,
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,,,
1996,,,
1997,,,
1998,,,
1999,,,
2000,,,
2001,,,
2002,,,
2003,,,
2004,,,
2005,,,
2006,,,
2007,,,
2008,,,
2009,,,
2010,,,
2011,,,
2012,,,
2013,,,
2014,,,
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,,,
1962,,,
1963,,,
1964,,,
1965,,,
1966,,,
1967,,,
1968,,,
1969,,,
1970,,,
1971,,,
1972,,,
1973,,,
1974,,,
1975,,,
1976,,,
1977,,,
1978,,,
1979,,,
1980,,,
1981,,,
1982,,,
1983,,,
1984,,,
1985,,,
1986,,,
1987,,,
1988,,,
1989,,,
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,,,
1996,,,
1997,,,
1998,,,
1999,,,
2000,,,
2001,,,
2002,,,
2003,,,
2004,,,
2005,,,
2006,,,
2007,,,
2008,,,
2009,,,
2010,,,
2011,,,
2012,,,
2013,,,
2014,,,
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,,,