Year,streamflow_volume,location
1962,104040.3333,salmon
1963,128431.5,salmon
1964,118820.4167,salmon
1965,190796.25,salmon
1966,88536.16667,salmon
1967,129363.6667,salmon
1968,106357.9167,salmon
1969,137995.9167,salmon
1970,131382.6667,salmon
1971,169439.6667,salmon
1972,162257.75,salmon
1973,89028.25,salmon
1974,176768.5,salmon
1975,140858.3333,salmon
1976,146086.0833,salmon
1977,70563,salmon
1978,124461.5833,salmon
1979,86028.25,salmon
1980,117240.5833,salmon
1981,105869.5,salmon
1982,166333.8333,salmon
1983,149627.3333,salmon
1984,166021.3333,salmon
1985,113927.5833,salmon
1986,149654.3333,salmon
1987,80867.83333,salmon
1988,80470,salmon
1989,83418.91667,salmon
1990,79624.66667,salmon
1991,80647.58333,salmon
1992,66724.25,salmon
1993,115343.5833,salmon
1994,61777.25,salmon
1995,127165.4167,salmon
1996,154260.1667,salmon
1997,183740.5833,salmon
1998,132294.25,salmon
1999,139398.6667,salmon
2000,97137.08333,salmon
2001,66515.83333,salmon
2002,81615.25,salmon
2003,93263.58333,salmon
2004,74470.83333,salmon
2005,78461.5,salmon
2006,120272.0833,salmon
2007,92019.33333,salmon
2008,109989.1667,salmon
2009,128036.5833,salmon
2010,115769.6667,salmon
2011,146216.1667,salmon
2012,134134.4167,salmon
2013,89503.83333,salmon
2014,115398.8333,salmon
2015,96261.16667,salmon
2016,108401.5,salmon
2017,207636,salmon
2018,141205.0833,salmon
2019,111406.0833,salmon
2020,96120.41667,salmon
2021,69072.41667,salmon
2022,101795.8333,salmon