site,sample,richness,abundance
1,macrophyte,5,32
2,macrophyte,6,25
3,macrophyte,8,75
4,macrophyte,4,22
5,macrophyte,3,25
6,macrophyte,6,132
7,macrophyte,4,71
8,macrophyte,3,20
9,macrophyte,4,27
10,macrophyte,1,3
11,macrophyte,4,34
12,macrophyte,4,20
13,macrophyte,3,18
1,macroinvertebrate,4,9
2,macroinvertebrate,3,5
3,macroinvertebrate,3,3
4,macroinvertebrate,4,11
5,macroinvertebrate,3,8
6,macroinvertebrate,3,8
7,macroinvertebrate,5,13
8,macroinvertebrate,3,6
9,macroinvertebrate,2,5
10,macroinvertebrate,4,12
11,macroinvertebrate,3,8
12,macroinvertebrate,6,14
13,macroinvertebrate,4,10